country,Average HDI 2019,Average HDI 2020,Average HDI 2021,Average HDI 2019 - 2021
Norway,"0,961","0,959","0,961","0,9603333333333333"
Switzerland,"0,962","0,956","0,962","0,96"
Iceland,"0,96","0,957","0,959","0,9586666666666667"
"Hong Kong, China (SAR)","0,952","0,949","0,952","0,951"
Denmark,"0,946","0,947","0,948","0,947"
Australia,"0,941","0,947","0,951","0,9463333333333334"
Sweden,"0,947","0,942","0,947","0,9453333333333332"
Germany,"0,948","0,944","0,942","0,9446666666666665"
Ireland,"0,942","0,943","0,945","0,9433333333333332"
Netherlands,"0,943","0,939","0,941","0,941"
